fold,variant,kind,auc,n,n_positive,coefficients,top_feature,verdict
montgomery,original,real,0.646551724137931,138,58,"{""mean"": -1.220080015049076, ""std"": 0.06947266125835232, ""p05"": 0.3288289204808435, ""p95"": 0.31914054655979085, ""entropy"": 1.4466390046154705, ""laplacian_var"": -0.22758366485958922, ""height"": 0.16050727381314672, ""width"": -0.16050727381314672, ""aspect"": -0.1605072738131475}",entropy,acceptable
shenzhen,original,real,0.8529981010809232,662,336,"{""mean"": 0.300725772897658, ""std"": -0.03555134482497285, ""p05"": 0.014638559962430995, ""p95"": 0.5530015455793993, ""entropy"": 0.7468871870881396, ""laplacian_var"": 1.877813714497173, ""height"": 1.174274646569333, ""width"": -0.23014970489536207, ""aspect"": -0.316933261429162}",laplacian_var,confounded
montgomery-normals + shenzhen-TB,original,hybrid,1.0,416,336,"{""mean"": 0.8022934265149387, ""std"": -0.600991408771965, ""p05"": 0.41533018036887037, ""p95"": -0.8569262956053926, ""entropy"": 0.1161220151025816, ""laplacian_var"": 0.8480442835085964, ""height"": -1.2343951517224356, ""width"": -1.3485741323318536, ""aspect"": -0.2599482543718946}",width,confounded
shenzhen-normals + montgomery-TB,original,hybrid,1.0,384,58,"{""mean"": -0.9109584245992233, ""std"": 0.5923818377777231, ""p05"": -0.19837803482839836, ""p95"": 0.9985945977250567, ""entropy"": 0.17761173430316696, ""laplacian_var"": -0.6333940487777516, ""height"": 1.2635411945041273, ""width"": 1.3966248340812042, ""aspect"": -0.10167796458041493}",width,confounded
montgomery,resized_224,real,0.6719827586206897,138,58,"{""mean"": -1.5484480028995746, ""std"": 0.32770142414500025, ""p05"": 0.23891277919239368, ""p95"": 0.6586434011657972, ""entropy"": 1.3494771090561317, ""laplacian_var"": -0.41231664076754815, ""height"": 0.0, ""width"": 0.0, ""aspect"": 0.0}",mean,suspect
shenzhen,resized_224,real,0.7748502775343266,662,336,"{""mean"": -1.1120227753708156, ""std"": -1.272358963289506, ""p05"": -0.45454197365070853, ""p95"": 0.7833362897546999, ""entropy"": 0.5045776509309827, ""laplacian_var"": -0.7781822483845267, ""height"": 0.0, ""width"": 0.0, ""aspect"": 0.0}",std,suspect
montgomery-normals + shenzhen-TB,resized_224,hybrid,1.0,416,336,"{""mean"": 2.2972143934461147, ""std"": -0.9306759711940608, ""p05"": 0.5478062450429734, ""p95"": -1.7550106342823975, ""entropy"": -0.4055619991485015, ""laplacian_var"": -1.703811880983206, ""height"": 0.0, ""width"": 0.0, ""aspect"": 0.0}",mean,confounded
shenzhen-normals + montgomery-TB,resized_224,hybrid,1.0,384,58,"{""mean"": -2.228276890770605, ""std"": 0.9016382918926525, ""p05"": -0.32158332564015596, ""p95"": 1.8117503037095353, ""entropy"": 0.8900186273552667, ""laplacian_var"": 0.8192485024393281, ""height"": 0.0, ""width"": 0.0, ""aspect"": 0.0}",mean,confounded
